Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time
134	Altai State Technical University 4 (Babushkin, Dyadushenko, Nekrasov)	+2 (183:16)	.	.	.	.	.	.	+1 (147:47)	.	.	.	.	.	2	390
135	Southern FU Institute of CompTech and InfoSec (Manych, Minasyan, Mitina)	+3 (194:16)	.	.	.	.	.	.	+ (139:44)	.	.	.	.	.	2	393
136	Nazarbayev University 3 (Mademikhanov, Muryshkin, Toktasynov)	-7	.	.	.	.	+ (228:53)	.	+ (167:40)	.	.	.	.	.	2	395
137	I. Javakhishvili Tbilisi State University 3 (Chelidze, Gobronidze, Modrekiladze)	+ (248:04)	.	.	.	.	.	.	+ (172:06)	.	-1	.	.	.	2	420
138	Novosibirsk State University 3 (Litvinov, Sklyarov, Skresanov)	+ (114:30)	.	.	.	-1	-1	.	+4 (232:21)	.	.	.	.	.	2	426
139	International IT University 3 (Abdysalam, Bakhoduri, Chesnokov)	+3 (160:58)	.	.	.	.	.	.	+3 (151:05)	.	.	.	.	.	2	431
140	Izhevsk State Technical University 3 (Gorodilov, Musin, Naymushin)	+1 (292:11)	.	.	.	.	-4	.	+1 (100:10)	.	.	.	.	.	2	432
141	Tomsk Polytechnic University 2 (Iovlev, Kuznetsova, Maksimova)	+3 (258:30)	.	.	.	.	-1	.	+1 (103:43)	.	.	.	.	.	2	441
142	Tomsk Polytechnic University 4 (Bakulin, Komarov, Nesterenko)	+1 (182:11)	.	.	.	.	-2	.	+3 (198:16)	.	.	.	.	.	2	460
143	Kutaisi State University (Butskhrikidze, Gogsadze, Khantadze)	+1 (262:23)	.	.	.	.	-12	.	+ (213:04)	.	.	.	.	.	2	495
144	Buryat State University 2 (Badagarov, Guslyakov, Tsydypova)	+8 (272:36)	.	.	.	.	.	.	+ (72:44)	.	.	.	.	.	2	504
145	American University - Central Asia 1 (Derkenbaev, Kim, Kydyraliev)	+ (168:31)	.	.	.	.	.	.	+5 (243:28)	.	.	.	.	.	2	511
146	East-Siberian State Technological University (Bolsoboev, Timofeev, Zhigdorzhiev)	+4 (185:36)	.	.	.	.	.	.	+4 (170:30)	.	-4	.	.	.	2	515
147	Far Eastern Federal University 1 (Kuznetcov, Miroedov, Zubarev)	+5 (211:37)	.	.	.	-8	.	.	+5 (149:15)	.	.	.	.	.	2	560
148	Eurasian National University named L.N. Gumilev 1 (Duisenbayev, Nurbek, Sultan)	+1 (215:59)	.	.	.	.	.	.	+3 (273:27)	.	.	.	.	.	2	568
149	I. Javakhishvili Tbilisi State University 2 (Babunashvili, Bukuri, Gachechiladze)	+5 (275:17)	.	.	.	-1	.	.	+1 (197:57)	.	.	.	.	.	2	592
150	Moscow State University - Tashkent 1 (Akhmedshin, Kosimov, Shin)	+ (155:12)	.	.	.	.	.	.	+10 (242:08)	.	.	.	.	.	2	597
151	Orel State University (Baranov, Strygin, Vorobjov)	+8 (230:09)	.	.	.	.	.	.	+1 (213:34)	.	.	.	.	.	2	623
