Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
34	Belarusian State University 2 (Zhyrkevich, Sataneuski, Vilcheuski)	+ (13:59)	-3	.	.	+ (22:22)	+3 (185:24)	+ (54:30)	.	.	+1 (168:06)	.	+3 (234:01)	6	816
35	Ulyanovsk State Technical University (Kondratiev, Korneev, Kashichkin)	+ (10:41)	.	.	.	+ (25:27)	+1 (139:29)	+1 (78:17)	.	.	+ (202:16)	.	+2 (293:14)	6	827
36	Immanuel Kant Baltic Federal University (Koblyk, Balobanov, Mosyagin)	+ (11:13)	.	.	.	+ (27:33)	+5 (190:47)	+ (73:19)	.	.	+ (177:09)	.	+ (294:20)	6	872
37	Novosibirsk SU 3 (Dudin, Ilin, Malykh)	+1 (9:15)	.	.	.	+ (21:18)	+3 (186:21)	+ (106:42)	.	.	+ (142:04)	-1	+3 (282:50)	6	886
38	SPb State University 4 (Malinovskii, Gulikov, Kulikov)	+ (10:41)	.	.	.	+ (19:47)	+6 (215:17)	+ (57:01)	.	.	+4 (192:15)	.	+2 (179:09)	6	912
39	Ural Federal University 2 (Permyakov, Borozdin, Kuchumov)	+ (15:10)	.	.	.	+ (33:25)	+4 (293:55)	+ (50:03)	.	.	+1 (179:18)	.	+4 (288:19)	6	1038
40	NU of Science and Technology MISiS 1 (Chernov, Ovchinkin, Lopukhov)	+ (13:32)	.	.	.	+ (28:26)	+2 (85:57)	+3 (179:12)	.	.	+3 (296:36)	.	+2 (296:03)	6	1097
41	SPb ITMO University 3 (Yakutov, Budin, Latyshev)	+ (8:40)	-2	.	.	+ (19:00)	+2 (49:08)	+ (60:24)	.	.	-7	-1	+ (100:17)	5	276
42	Perm State University 2 (Lizunov, Tsaplin, Ankudinov)	+1 (21:41)	.	.	.	+ (14:11)	+2 (51:25)	+ (99:03)	.	.	+1 (77:06)	-5	.	5	342
43	Samara State Aerospace University (Bezrukov, Antipov, Dimitrov)	+ (15:20)	.	.	.	+ (27:48)	+ (114:15)	+1 (79:18)	.	.	+ (130:06)	-3	-2	5	385
44	Togliatti State University (Bayditskaya, Finutin, Nikonov)	+ (11:19)	.	.	.	+ (20:18)	+2 (98:25)	+ (44:23)	.	.	.	-5	+ (231:19)	5	444
45	Vilnius University 1 (Klimavi?ius, Strimaitis, Jadenkus)	+1 (11:47)	.	-2	.	+ (44:35)	+1 (95:00)	+1 (40:38)	.	.	-10	.	+ (198:18)	5	448
46	Higher School of Economics 2 (Svyatokum, Lazarev, Urusov)	+ (21:13)	.	.	.	+ (33:55)	+ (93:59)	+ (54:33)	.	.	-20	.	+2 (243:07)	5	484
47	Volgograd State Technical University 1 (Agafonov, Nozdrenkov, Ngo)	+ (15:09)	.	.	.	+ (34:13)	+1 (103:52)	+ (63:54)	.	.	-6	.	+2 (232:12)	5	507
